Section,Spawn,League / Purpose,Best form & rank,IV target (Poke Genie),Recommended moveset,Keep,Family total,Notes
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Torchic,Raid / Mega,Mega Blaziken (strong Fire/Fighting),IV% ≥96% or 15 ATK  (high ATK),Counter / Blast Burn,1,1,No PvP top-50. Value is the Mega.
Wild Spawns — Jul 21–23 (Kanto/Johto/Hoenn),Mudkip,Great,Swampert #64,Rank % ≥ 97.6  (≤ #100; low ATK),Mud Shot / Hydro Cannon / Earthquake,1,3,Great in GL & UL (ML #105 just outside). Mega + ML both want a hundo — separate from the low-ATK PvP copies.
,,Ultra,Swampert #45,Rank % ≥ 97.6  (≤ #100; low ATK),Mud Shot / Hydro Cannon / Earthquake,1,,
,,Raid / Mega,Mega Swampert (top Water raider),IV% ≥96% or 15 ATK  (high ATK),Water Gun / Hydro Cannon,1,,
Wild Spawns — Jul 23–25 (Sinnoh/Unova/Kalos),Turtwig,Collection,"Torterra — fringe, no mega",1× best IV or shiny,—,1,1,No PvP top-50.
Wild Spawns — Jul 23–25 (Sinnoh/Unova/Kalos),Chimchar,Collection,"Infernape — glass attacker, outclassed",1× best IV or shiny,Fire Spin / Blast Burn,1,1,"No PvP top-50, no mega."
Wild Spawns — Jul 23–25 (Sinnoh/Unova/Kalos),Piplup,Great,Empoleon #5,Rank % ≥ 97.6  (≤ #100; low ATK),Metal Sound / Hydro Cannon / Drill Peck,1,2,Top-tier in both capped leagues. No mega.
,,Ultra,Empoleon #9,Rank % ≥ 97.6  (≤ #100; low ATK),Metal Sound / Hydro Cannon / Drill Peck,1,,
Wild Spawns — Jul 23–25 (Sinnoh/Unova/Kalos),Snivy,Collection,Serperior — fringe,1× best IV or shiny,—,1,1,"No PvP top-50, no mega."
Wild Spawns — Jul 23–25 (Sinnoh/Unova/Kalos),Tepig,Little Cup,Tepig #48 (base),Rank % ≥ 97.6  (≤ #100; low ATK),Ember / Body Slam / Flame Charge,1,1,Only Little Cup. Emboar not meta.
Wild Spawns — Jul 23–25 (Sinnoh/Unova/Kalos),Oshawott,Great,Samurott #90,Rank % ≥ 97.6  (≤ #100; low ATK),Fury Cutter / Hydro Cannon / Megahorn,1,2,"Niche in both capped leagues. Hisuian Samurott is stronger (needs Hisuian Oshawott, a different mon)."
,,Ultra,Samurott #74,Rank % ≥ 97.6  (≤ #100; low ATK),Fury Cutter / Hydro Cannon / Megahorn,1,,
Wild Spawns — Jul 23–25 (Sinnoh/Unova/Kalos),Chespin,Collection,"Chesnaught — best ML #208, not top-50",1× best IV or shiny,—,1,1,Fell out of the meta; no mega.
Wild Spawns — Jul 23–25 (Sinnoh/Unova/Kalos),Fennekin,Collection,Delphox — not meta,1× best IV or shiny,—,1,1,"No PvP top-50, no mega."
Wild Spawns — Jul 23–25 (Sinnoh/Unova/Kalos),Froakie,Collection,"Greninja — glass, niche",1× best IV or shiny,—,1,1,"No PvP top-50, no mega."
Wild Spawns — Jul 25–27 (Alola/Galar/Paldea),Rowlet,Collection,Decidueye — not top-50,1× best IV or shiny,—,1,1,No mega.
Wild Spawns — Jul 25–27 (Alola/Galar/Paldea),Litten,Collection,Incineroar — fringe,1× best IV or shiny,—,1,1,"No PvP top-50, no mega."
Wild Spawns — Jul 25–27 (Alola/Galar/Paldea),Popplio,Ultra,Primarina #71,Rank % ≥ 97.6  (≤ #100; low ATK),Waterfall / Disarming Voice / Hydro Cannon,1,2,UL closer (keep low-ATK) AND ML pick (keep high-ATK) — two different IV builds. No mega.
,,Master,Primarina #49,IV% ≥96% or 15 ATK  (high ATK),Waterfall / Disarming Voice / Hydro Cannon,1,,
Wild Spawns — Jul 25–27 (Alola/Galar/Paldea),Grookey,Collection,Rillaboom — fringe,1× best IV or shiny,—,1,1,"No PvP top-50, no mega."
Wild Spawns — Jul 25–27 (Alola/Galar/Paldea),Scorbunny,Collection,"Cinderace — glass, niche",1× best IV or shiny,—,1,1,No mega.
Wild Spawns — Jul 25–27 (Alola/Galar/Paldea),Sobble,Raid,Inteleon #16 Water attacker (w/ Hydro Cannon),IV% ≥96% or 15 ATK  (high ATK),Water Gun / Hydro Cannon,1,1,"Sobble CD was 4 Jul 2026 — evolve for Hydro Cannon; keep a high-ATK one for regular Water raids. (G-Max Inteleon is a top Max-Battle Water attacker, but that needs a Max-Battle-caught Sobble — this wild spawn can't be used in Max Battles.) Not top-50 PvP."
Wild Spawns — Jul 25–27 (Alola/Galar/Paldea),Sprigatito,Collection,"Meowscarada — glass, niche",1× best IV or shiny,—,1,1,No mega.
Wild Spawns — Jul 25–27 (Alola/Galar/Paldea),Fuecoco,Ultra,Skeledirge #94,Rank % ≥ 97.6  (≤ #100; low ATK),Incinerate / Torch Song / Shadow Ball,1,1,Skeledirge is a UL pick (ML #109 just outside; Fuecoco Little #52 just missed). No mega.
Wild Spawns — Jul 25–27 (Alola/Galar/Paldea),Quaxly,Collection,Quaquaval — fringe,1× best IV or shiny,—,1,1,"No PvP top-50, no mega."
Lure Module Encounters (normal Lure) — the standouts,Beldum,Master,Metagross #3,IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Meteor Mash / Earthquake,1,2,‡ One hundo serves ML + raids + Mega. Rare spawn — keep several high-ATK ones.
,,Raid / Mega,Mega Metagross (best Steel raider) + Metagross itself top raider,IV% ≥96% or 15 ATK  (high ATK),Bullet Punch / Meteor Mash,1,,
Lure Module Encounters (normal Lure) — the standouts,Gible,Master,Garchomp #23,IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Twister / Earth Power,1,2,‡ One hundo serves ML + raids + Mega. Rare spawn — keep high-ATK ones.
,,Raid / Mega,Mega Garchomp + Garchomp strong Ground/Dragon raider,IV% ≥96% or 15 ATK  (high ATK),Mud Shot / Outrage,1,,
Lure Module Encounters (normal Lure) — the standouts,Dreepy,Master,Dragapult #193 (fell off; budget / Premier ML),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Shadow Ball / Outrage,1,1,No mega. Rare/valuable spawn — keep a high-IV one for ML & collection.
Raids (all costumed ‘Party Hat’ — value is the cosmetic/shiny),Party Hat Grimer (1★),Collection,Muk (Kanto) — not meta,1× best IV or shiny,—,1,1,Costume/shiny keep. No mega.
Raids (all costumed ‘Party Hat’ — value is the cosmetic/shiny),Party Hat Raticate (3★),Collection,Raticate — not meta,1× best IV or shiny,—,1,1,Costume/shiny keep.
Raids (all costumed ‘Party Hat’ — value is the cosmetic/shiny),Party Hat Nidorino (3★),Collection,Nidoking — not top-50,1× best IV or shiny,—,1,1,Costume/shiny keep. No mega.
Raids (all costumed ‘Party Hat’ — value is the cosmetic/shiny),Party Hat Gengar (3★),Raid / Mega,Mega Gengar (top Ghost/Poison glass raider),IV% ≥96% or 15 ATK  (high ATK),Lick / Shadow Ball  |  Shadow Claw / Sludge Bomb,1,1,Raid gives final Gengar. Also a costume/shiny keep.
Raids (all costumed ‘Party Hat’ — value is the cosmetic/shiny),Party Hat Wobbuffet (3★),Collection,Wobbuffet — not meta,1× best IV or shiny,—,1,1,"Costume/shiny keep. (Wynaut is Little Cup #2, but the raid yields Wobbuffet, not Wynaut — no Little Cup use here.)"
Current Raid Bosses (leekduck.com/raid-bosses),Solgaleo (5★),Master,Solgaleo #37 (to run Solgaleo itself),IV% ≥96% or 15 ATK  (high ATK),Fire Spin / Psychic Fangs / Iron Head,1,2,"Fusion takes Necrozma's stats, NOT Solgaleo's — fuse with a JUNK Solgaleo, save your hundo Necrozma. A high-ATK Solgaleo is only worth it to run Solgaleo itself in ML (#37). Legendary raid = 10/10/10 IV floor."
,,Raid / Fusion,"Fuse → Dusk Mane Necrozma (ML #31, top Steel raider) — inherits NECROZMA's IVs","Any IV (fusion uses Necrozma's, not Solgaleo's)",Metal Claw / Sunsteel Strike,1,,
Current Raid Bosses (leekduck.com/raid-bosses),Mega Salamence,Raid / Mega,"Mega Salamence — top-tier mega Dragon/Flying raider (behind Mega Rayquaza, ≈ Mega Latios)",IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Draco Meteor,1,1,"PvP-fringe (ML #108, UL #321). Not #1 dragon — Mega Rayquaza leads — but far more accessible, and you can bring your own mega for the party damage boost. Keep a high-ATK one."
